aakem	hole, indent	to create a hole, to indent	indented, concave
ah	accessory, extra thing	to add 	extra, additional
ahur	argument	to argue	argumentative
ampu		to go	
asai	upper side	to bring up, to be upwards	up, high, above
askan	beginning	to start	starting
aso	scream/shout/yell	to scream/shout/yell	loud/aggressive
asoraimtau	pink	to make pink	pink
asotau	red	to make red	red
atorejen	week (Gregorian calendar)		
atoren	week (Fynotek calendar)		
atymei	health	to heal	related to health
awre	joke, game, entertainment	to have fun, to be funny, to entertain	funny, fun, entertaining
awt	gender		
awtakut	man		male
awterfays	femme-aligned nonbinary person		femme-aligned nonbinary
awterfayskut	androgyne-aligned nonbinary person		androgyne-aligned nonbinary
awterkut	masc-aligned nonbinary person		masc-aligned nonbinary
awterp	nonbinary person		nonbinary
awtfays	woman		female
awtñy	agender person		agender
awtunso	xenogendered person, xenogender		xenogendered
easlo	back	to bring back	behind
eiska	end	to finish	finishing
eiskor			next
eispo			previous
ejen	sun, 1 year in the Gregorian calendar		sunny
ejtau	yellow	to make yellow	yellow
ejunso	light	to illuminate	bright
emi	box, bag, container		
erp			neutral
etwe	right (your/their perspective)		to the right (your/their perspective)
ewje	hour		
ewnik	murder	to kill	murdered
famo		to wave (to someone)	
fayh	unity	to unite	one
fays			feminine
femro	fakeness, lie	to tell a lie	fake, unreal
feñiasa	foot		
feñipur	hand		
feñisamlaa	head, brain		
feñu	body		
feom	rodent		rodentlike
fimatu	fabric, clothing	to wear	fabric
fjar	sports	to play sports	athletic
fjow	difficulty	to obstruct, to block, to make difficult	difficult
fmutue	person, human	to personify	humanoid, personified
fota	building, house	to build 	
fotampu	vehicle	to drive	vehicular
fotwoetas	beehive		
foun		to renew	new
fowi	door		
frie	wound	to wound	wounded
friwoetas	bee sting		
ftylna	net, web	to make into a web	interlocked, in a web pattern
fuh	existence	to exist, to be	real, true
fupa	ear	to hear	
Fynotek	the name of this language		
hao	similarity	to be the same as	same
haria	life	to live, to bring life to	alive
hepwik	wish	to want	
hije		to break	broken
hijkla	fire	to set on fire	fiery
hiks	document, book		
himta	assignment, job	to work	
hituña		to bake	
hjapa	flat surface, table	to flatten	flat
hjeu	word		
horse	horse	to ride a horse	horselike
huansa	tar		
huasern	magic	to perform magic, to cast a spell, to do something magic	magical
husi	direction	to direct	
hyr	language, speech	to speak	linguistic
iasa	bottom	to bring down (physically), to be underneath	down, low, below
ifiti	spice	to add spice	spicy
iimmmii	microwave	to microwave	microwavelike
ikmeo	music	to make music	musical
ikna	hair, fur, string, line		hairy, stringy
ilyn	robot, computer		robotic
inhy	shape		
iso	ability	to be able to, can	able
iuñe	water, liquid	to liquify	liquid
iuñereun	bubble		
jalkeiska	graduation	to graduate	
jalki	school		
jaoma	eye	to look/see, to appear as	
jawe	growth	to grow (transitive)	
jaymka	sky		
jaynasotau	purple	to make purple	purple
jaytau	blue	to make blue	blue
jeaj	day (24 hour period)		
jem	bump	to create a bump	bumpy
jera	creation	to create, to make	manmade, artificial
jerahao	sibling		
jetal			last, final
jiwo	block, square, cube	to make square/cubed	squarelike, cubelike
jukse	store	to buy	
junon			that
juon			this
kaf	plant		plantlike
kafikna	grass		grasslike
kafskan	seed		
kaftau	green	to make green	green
kaftofa	flower		
kaftofiuñe	nectar		
kaftofoñek	pollen		
kaha	laughter	to laugh	laughing
kemnu	left (your/their perspective)		to the left (your/their perspective)
kiakfutejen	reptile		reptilian
kiakfutiuñe	fish		fishlike
kiakfutreun	bird		birdlike
kiakfutu	animal		animal-like
kiakfutyla	bug, insect		insect-like
kimou	spoons	to have spoons	having spoons
kimpe	medicine	to medicate	medicinal
kisak	piece, part	to cut, to halve, to divide	some, few
kito	rabbit		rabbitlike
kjam			too, also
kjekos	everything, universe, world		all, every
kmafi	stealing	to steal	stolen
